date;open;high;low;close;volume
2024-04-01;171.18750;171.23000;169.48000;169.81000;18686553
2024-03-28;171.75000;172.23000;170.50999;171.48000;65672700
2024-03-27;170.41000;173.60001;170.11000;173.31000;60273300
2024-03-26;170.00000;171.42000;169.58000;169.71001;57388400
2024-03-25;170.57001;171.94000;169.45000;170.85001;54288300
2024-03-22;171.75999;173.05000;170.06000;172.28000;71106600
2024-03-21;177.05000;177.49001;170.84000;171.37000;106181300
2024-03-20;175.72000;178.67000;175.09000;178.67000;53423100
2024-03-19;174.34000;176.61000;173.03000;176.08000;55215200
2024-03-18;175.57001;177.71001;173.52000;173.72000;75604200
2024-03-15;171.17000;172.62000;170.28999;172.62000;121664700
2024-03-14;172.91000;174.31000;172.05000;173.00000;72913500
2024-03-13;172.77000;173.19000;170.75999;171.13000;52488700
2024-03-12;173.14999;174.03000;171.00999;173.23000;59825400
2024-03-11;172.94000;174.38000;172.05000;172.75000;60139500
2024-03-08;169.00000;173.70000;168.94000;170.73000;76114600
2024-03-07;169.14999;170.73000;168.49001;169.00000;71765100
2024-03-06;171.06000;171.24001;168.67999;169.12000;68587700
2024-03-05;170.75999;172.03999;169.62000;170.12000;95132400
2024-03-04;176.14999;176.89999;173.78999;175.10001;81510100
2024-03-01;179.55000;180.53000;177.38000;179.66000;73488000
2024-02-29;181.27000;182.57001;179.53000;180.75000;136682600
2024-02-28;182.50999;183.12000;180.13000;181.42000;48953900
2024-02-27;181.10001;183.92000;179.56000;182.63000;54318900
2024-02-26;182.24001;182.75999;180.64999;181.16000;40867400
2024-02-23;185.00999;185.03999;182.23000;182.52000;45119700
2024-02-22;183.48000;184.96001;182.46001;184.37000;52292200
2024-02-21;181.94000;182.89000;180.66000;182.32001;41529700
2024-02-20;181.78999;182.42999;180.00000;181.56000;53665600
2024-02-16;183.42000;184.85001;181.67000;182.31000;49701400
